C_gbcode,C_source,N_pinyin,N_local,H,A,change,P,fromdate,todate
130683,CM,Anguo shi,Anguo shi,9,3,CH,0,19941217,19941231
130684,CM,Gaobeidian shi,Gaobeidian shi,9,3,CH,0,19941217,19941231
130700,GB,Zhangjiakou shi,Zhangjiakou shi,0,0,T,3,19930619,19941231
130700,GB,Zhangjiakou shi,Zhangjiakou shi,0,0,CHA,3,19831115,19930618
130701,GB,Zhangjiakou shixiaqu,Zhangjiakou shixiaqu,3,1,,0,19831115,19891219
130701,GB,Zhangjiakou shixiaqu,Zhangjiakou shixiaqu,3,1,T,0,19891220,19941231
130702,GB,Zhangjiakou: Qiaodong qu,Zhangjiakou: Qiaodong qu,3,2,,0,19831115,19941231
130703,GB,Zhangjiakou: Qiaoxi qu,Zhangjiakou: Qiaoxi qu,3,2,,0,19831115,19941231
130704,GB,Zhangjiakou: Chafang qu,Zhangjiakou: Chafang qu,3,2,,0,19831115,19891220
130705,GB,Zhangjiakou: Xuanhua qu,Zhangjiakou: Xuanhua qu,3,2,,0,19831115,19941231
130706,GB,Zhangjiakou: Xiahuayuan qu,Zhangjiakou: Xiahuayuan qu,3,2,,0,19831115,19941231
130707,GB,Zhangjiakou: Pangjiabu qu,Zhangjiakou: Pangjiabu qu,3,2,,0,19831115,19891220
130721,GB,Xuanhua,Xuanhua,3,5,CH,0,19831115,19891219
130721,GB,Xuanhua,Xuanhua,3,5,T,0,19891220,19941231
130722,GB,Zhangbei,Zhangbei,3,5,CH,0,19930619,19941231
130723,GB,Kangbao,Kangbao,3,5,CH,0,19930619,19941231
130724,GB,Guyuan,Guyuan,3,5,CH,0,19930619,19941231
130725,GB,Shangyi,Shangyi,3,5,CH,0,19930619,19941231
130726,GB,Yu xian,Yu xian,3,5,CH,0,19930619,19941231
130727,GB,Yangyuan,Yangyuan,3,5,CH,0,19930619,19941231
130728,GB,Huai`an,Huai`an,3,5,CH,0,19930619,19941231
130729,GB,Wanquan,Wanquan,3,5,CH,0,19930619,19941231
130730,GB,Huailai,Huailai,3,5,CH,0,19930619,19941231
130731,GB,Zhuolu,Zhuolu,3,5,CH,0,19930619,19941231
130732,GB,Chicheng,Chicheng,3,5,CH,0,19930619,19941231
130733,GB,Chongli,Chongli,3,5,CH,0,19930619,19941231
130800,GB,Chengde shi,Chengde shi,0,0,CHAT,3,19831115,19930618
130800,GB,Chengde shi,Chengde shi,0,0,T,3,19930619,19941231
130801,GB,Chengde shixiaqu,Chengde shixiaqu,3,1,,0,19831115,19941231
130802,GB,Chengde: Shuangqiao qu,Chengde: Shuangqiao qu,3,2,,0,19831115,19941231
130803,GB,Chengde: Shuangluan qu,Chengde: Shuangluan qu,3,2,,0,19831115,19941231
130804,GB,Chengde: Yingshouyingzi Kuangqu,Chengde: Yingshouyingzi Kuangqu,3,2,,0,19831115,19941231
130821,GB,Chengde,Chengde,3,5,CH,0,19831115,19941231
130822,GB,Xinglong,Xinglong,3,5,CH,0,19930619,19941231
130823,GB,Pingquan,Pingquan,3,5,CH,0,19930619,19941231
130824,GB,Luanping,Luanping,3,5,CH,0,19930619,19941231
130825,GB,Longhua,Longhua,3,5,CH,0,19930619,19941231
130826,GB,Fengning Manzu zizhixian,Fengning Manzu zizhixian,3,6,CH,0,19930619,19941231
130827,GB,Kuancheng Manzu zizhixian,Kuancheng Manzu zizhixian,3,6,CH,0,19930619,19941231
130828,GB,Weichang Manzu Mengguzu zizhixian,Weichang Manzu Mengguzu zizhixian,3,6,CH,0,19930619,19941231
130900,GB,Cangzhou shi,Cangzhou shi,0,0,T,3,19860405,19930618
130900,GB,Cangzhou shi,Cangzhou shi,0,0,CHAT,3,19831115,19860404
130900,GB,Cangzhou shi,Cangzhou shi,0,0,T,3,19930619,19941231
130901,GB,Cangzhou shixiaqu,Cangzhou shixiaqu,3,1,,0,19831115,19941231
130902,GB,Cangzhou: Xinhua qu,Cangzhou: Xinhua qu,3,2,,0,19831115,19941231
